part_no,pooling_station,region,total_voters
Part_211,LVKUSH INTR KALEJ SITAMI R.NO.-2,NAREPAR,559
Part_212,LVKUSH INTR KALEJ SITAMI R.NO.-3,NAREPAR,741
Part_213,PRIMARY SCHOOL MJHGVA K0S0-1,MJHGVA,1021
Part_214,PRIMARY SCHOOL MJHGVA K0S0-2,MJHGVA,954
Part_215,PRIMARY SCHOOL KOIRAUNA PRTHM K0S0-1,KHEDAUPUR,1080
Part_216,PRIMARY SCHOOL KOIRAUNA PRTHM K0S0-2,KHEDAUPUR,552
Part_217,PRIMARY SCHOOL KOIRAUNA PRTHM K0S0-3,KHEDAUPUR,809
Part_218,SHRIKALIKA.INTR KALEJ KOIRAUNA K0S0-1,KOIRAUNA,962
Part_219,SHRIKALIKA.INTR KALEJ KOIRAUNA K0S0-2,KOIRAUNA,529
Part_220,SHRIKALIKA.INTR KALEJ KOIRAUNA K0S0-3,KOIRAUNA,745
Part_221,PRIMARY SCHOOL BERVAPHADPUR K0S0-1,BERVANPHADPUR,876
Part_222,PRIMARY SCHOOL BERVAPHADPUR K0S0-2,BERVANPHADPUR,759
Part_223,PRIMARY SCHOOL BERVAPHADPUR K0S0-3,BERVANPHADPUR,531
Part_224,PRIMARY SCHOOL MRSDA,MRSDA,897
Part_225,COMPOSITE SCHOOL MDNPUR,MDNPUR,877
Part_226,COMPOSITE SCHOOL GOPALAPUR,GOPALAPUR,820
Part_227,COMPOSITE SCHOOL G KLINJR,KLINJRA,665
Part_228,PRIMARY SCHOOL PHULVRIYA,PHULVRIYA,955
Part_229,PRIMARY SCHOOL BHIKHIPUR K0S0-1,BHIKHIPUR,886
Part_230,PRIMARY SCHOOL BHIKHIPUR K0S0-2,BHIKHIPUR,896
Part_231,PRIMARY SCHOOL BHAVAPUR,BHAVAPUR,783
Part_232,PRIMARY SCHOOL JNGLPUR K0S0-1,JNGLPUR,817
Part_233,PRIMARY SCHOOL JNGLPUR K0S0-2,JNGLPUR,842
Part_234,PRIMARY SCHOOL JNGLPUR K0S0-3,JNGLPUR,795
Part_235,PRIMARY SCHOOL JNGLPUR K0S0-4,JNGLPUR,410
Part_236,PRIMARY SCHOOL KULMNPUR,KULMNPUR,1016
Part_237,PRIMARY SCHOOL MAILAUNA R.NO.-1,MAILAUNA,999
Part_238,PRIMARY SCHOOL MAILAUNA R.NO.-2,MAILAUNA,870
Part_239,PRIMARY SCHOOL JNGIGNJ R.NO.-1,JNGIGNJ,981
Part_240,PRIMARY SCHOOL JNGIGNJ R.NO.-2,JNGIGNJ,1037
Part_241,SHKARI SMITI SRAYJGDISH K0S0-1,SRAYJGDISH,1031
Part_242,SHKARI SMITI SRAYJGDISH K0S0-2,SRAYJGDISH,1011
Part_243,PRIMARY SCHOOL SRAYJGDISH,SRAYJGDISH,924
Part_244,COMPOSITE SCHOOL CHNDAPUR K0S0-1,CHNDAPUR,1021
Part_245,COMPOSITE SCHOOL CHNDAPUR K0S0-2,CHNDAPUR,804
Part_246,PTTI PRIMARY SCHOOL SDASHIVPTTI K0S0-1,SDASHIV,789
Part_247,PTTI PRIMARY SCHOOL SDASHIVPTTI K0S0-2,SDASHIV,972
Part_248,PRIMARY SCHOOL SHIVSEVKPTTI R.NO.-1,SHIVSEVK,548
Part_249,PRIMARY SCHOOL SHIVSEVKPTTI R.NO.-2,SHIVSEVK,630
Part_250,PTTI PRIMARY SCHOOL DSHARAMPTTI,DSHARAM,558
Part_251,COMPOSITE SCHOOL ARTA,ARTA,975
Part_252,COMPOSITE SCHOOL TULSIPTTI K0S0-1,SUYBHRANPUR,908
Part_253,COMPOSITE SCHOOL TULSIPTTI K0S0-2,SUYBHRANPUR,943
Part_254,COMPOSITE SCHOOL TULSIPTTI K0S0-3,SUYBHRANPUR,901
Part_255,COMPOSITE SCHOOL TULSIPTTI K0S0-4,SUYBHRANPUR,516
Part_256,PRIMARY SCHOOL SHERPUR PINDA HI0 JOGAPUR,SHERPUR,840
Part_257,PRIMARY SCHOOL SHERPUR PINDA HI0 JOGAPUR,SHERPUR,377
Part_258,COMPOSITE SCHOOL SONPUR YADV BSTI,SONPUR,957
Part_259,COMPOSITE SCHOOL SONPUR YADV BSTI,SONPUR,563
Part_260,PRIMARY SCHOOL INARGAV K0S0-1,INARGAV,962
Part_261,PRIMARY SCHOOL INARGAV K0S0-2,INARGAV,1095
Part_262,PRIMARY SCHOOL INARGAV K0S0-3,INARGAV,1042
Part_263,PRIMARY SCHOOL DUHIYA R.NO.-1,DUHIYA,855
Part_264,PRIMARY SCHOOL DUHIYA R.NO.-2,DUHIYA,683
Part_265,COMPOSITE SCHOOL NGRDH K0S0-1,NGRDH,1027
Part_266,COMPOSITE SCHOOL NGRDH K0S0-2,NGRDH,631
Part_267,COMPOSITE SCHOOL NGRDH K0S0-3,NGRDH,716
Part_268,PRIMARY SCHOOL OJHAPUR,OJHAPUR,1065
Part_269,COMPOSITE SCHOOL SEMRADH K0S0-1,SEMRADH,843
Part_270,COMPOSITE SCHOOL SEMRADH K0S0-2,SEMRADH,448
Part_271,PRIMARY SCHOOL MHMDPUR,MHMDPUR,550
Part_272,UPRVAR JUNIOR HIGH SCHOOL PURVAN R.NO.-1,PURVAN,735
Part_273,UPRVAR JUNIOR HIGH SCHOOL PURVAN R.NO.-2,PURVAN,678
Part_274,PRIMARY SCHOOL IBRAHIMPUR R.NO.-1,IBRAHIMPUR,894
Part_275,PRIMARY SCHOOL IBRAHIMPUR R.NO.-2,IBRAHIMPUR,869
Part_276,PNCHAYT BHVN GOPALPUR,GOPALPUR,946
Part_277,PUV RMADHYMIK SCHOOL BDRI,BDRI,799
Part_278,PNCHAYT BHVN JGDISHPUR,JGDISHPUR,780
Part_279,BISA MATA SEVK INTR MIDIET KALEJ BAIRI BISA,BAIRI,616
Part_280,BISA MATA SEVK INTR MIDIET KALEJ BAIRI BISA,BAIRI,533
Part_281,BISA MATA SEVK INTR MIDIET KALEJ BAIRI BISA,BAIRI,974
Part_282,BISA MATA SEVK INTR MIDIET KALEJ BAIRI BISA,BAIRI,1089
Part_283,BISA MATA SEVK INTR MIDIET KALEJ BAIRI BISA,BAIRI,1016
Part_284,BISA JUNIOR HIGH SCHOOL TLIYA,BAIRI,1075
Part_285,COMPOSITE SCHOOL JGAPUR,JGAPUR,717
Part_288,COMPOSITE SCHOOL BERASPUR R.NO.-1,BERASPUR,638
Part_289,COMPOSITE SCHOOL BERASPUR R.NO.-2,BERASPUR,809
Part_290,COMPOSITE SCHOOL KEDARPUR,KEDARPUR,1082
Part_291,COMPOSITE SCHOOL BIHROJPUR K0S0-1,BIHROJPUR,656
Part_292,COMPOSITE SCHOOL BIHROJPUR K0S0-2,BIHROJPUR,715
Part_293,COMPOSITE SCHOOL BIHROJPUR K0S0-3,BIHROJPUR,915
Part_294,PRIMARY SCHOOL BAIKUSHTHPTTI UPH RDHNAPUR,BAIKUSHTHPTTI,612
Part_295,COMPOSITE SCHOOL SUJATPUR K0S0-1,SUJATPUR,911
Part_296,COMPOSITE SCHOOL SUJATPUR K0S0-2,SUJATPUR,853
Part_297,PRIMARY SCHOOL CHERAPUR R.NO.-1,CHERAPUR,989
Part_298,PRIMARY SCHOOL CHERAPUR R.NO.-2,CHERAPUR,739
Part_299,JUNIOR HIGH SCHOOL BHGTPTTI VIRNI R.NO.-1,BIRNI,1012
Part_300,JUNIOR HIGH SCHOOL BHGTPTTI VIRNI R.NO.-2,BIRNI,645
Part_301,PRIMARY SCHOOL CHHTMI R.NO.-1,CHHTMI,936
Part_302,PRIMARY SCHOOL CHHTMI R.NO.-2,CHHTMI,860
Part_303,PRIMARY SCHOOL KISHUNDEVPUR,KISHUNDEVPUR,900
Part_304,MHSHI RSHIV BRT LAL INTR KALEJ,RADHASVAMIDHAM,901
Part_305,PRIMARY SCHOOL GHNSHYAMPUR R.NO.-1,GHNSHYAMPUR,969
Part_306,PRIMARY SCHOOL GHNSHYAMPUR R.NO.-2,GHNSHYAMPUR,928
Part_307,COMPOSITE SCHOOL TILNGA K0S0-1,TILNGA,934
Part_308,COMPOSITE SCHOOL TILNGA K0S0-2,TILNGA,886
Part_309,COMPOSITE SCHOOL GULAURI R.NO.-1,GULAURI,923
Part_310,COMPOSITE SCHOOL GULAURI R.NO.-2,GULAURI,568
Part_311,PRIMARY SCHOOL DHNAPUR K0AN0-1,DHNAPUR,630
Part_312,PRIMARY SCHOOL DHNAPUR K0AN0-2,DHNAPUR,639
Part_313,PRIMARY SCHOOL AANAPUR R.NO.-1,AANAPUR,679
Part_314,PRIMARY SCHOOL AANAPUR R.NO.-2,AANAPUR,504
Part_315,PRIMARY SCHOOL GHRPUR R.NO.-1,GHRPUR,919
Part_316,PRIMARY SCHOOL GHRPUR R.NO.-2,GHRPUR,909
Part_317,PRIMARY SCHOOL CHHRPUR,CHHRPUR,569
Part_318,PRIMARY SCHOOL SONKHRI R.NO.-1,SONKHRI,792
Part_319,PRIMARY SCHOOL SONKHRI R.NO.-2,SONKHRI,504
Part_320,PRIMARY SCHOOL CHKMANDHATA R.NO.-1,CHKMANDHATA,1048
Part_321,PRIMARY SCHOOL CHKMANDHATA R.NO.-2,CHKMANDHATA,901
Part_322,JUNIOR HIGH SCHOOL CHKMANDHATA,CHKMANDHATA,907
Part_323,COMPOSITE SCHOOL BAIDAKHAS R.NO.-1,BAIDAKHAS,699
Part_324,COMPOSITE SCHOOL BAIDAKHAS R.NO.-2,BAIDAKHAS,596
Part_325,COMPOSITE SCHOOL CHITIPUR,CHITIPUR,940
Part_326,PRIMARY SCHOOL THANIPUR R.NO.-1,THANIPUR,480
Part_327,PRIMARY SCHOOL THANIPUR R.NO.-2,THANIPUR,714
Part_328,PRIMARY SCHOOL HRIHRPUR,HRIHRPUR,909
Part_329,BHURIYA PRIMARY SCHOOL PURE BHURIYA PRTHM,PURE JHAMMAN,939
Part_330,PUV RMADHYMIK SCHOOL JGAPUR R.NO.-1,JGAPUR,1004
Part_331,PUV RMADHYMIK SCHOOL JGAPUR R.NO.-2,JGAPUR,691
Part_332,COMPOSITE SCHOOL DUHIYA,DUHIYA,1104
Part_333,PRIMARY SCHOOL BHAVSINHPUR,DUHIYA,567
Part_334,COMPOSITE SCHOOL ANRI KA PURA,BHAVSINHPUR,790
Part_335,GIRLS JUNIOR HIGH SCHOOL UMARIYA R.NO.-1,ANARI KA PURA,738
Part_336,GIRLS JUNIOR HIGH SCHOOL UMARIYA R.NO.-2,UMARIYA,410
Part_337,PRIMARY SCHOOL UMRIYA K0S0-1,UMRIYA,765
Part_338,PRIMARY SCHOOL . UMRIYA K0S0-2,MILKI,983
Part_339,COMPOSITE SCHOOL MILKI R.NO.-1,MILKI,713
Part_340,COMPOSITE SCHOOL MILKI R.NO.-2,MILKI,656
Part_341,COMPOSITE SCHOOL KASHIRAMPUR,KASHIRAMPUR,167
Part_342,UPH R SHRIRAM MADHYMIK SCHOOL SARIPUR UPH RUMRPUR,SARIPUR,1039
Part_343,UPH R SHRIRAM MADHYMIK SCHOOL SARIPUR UPH RUMRPUR,SARIPUR,869
Part_344,COMPOSITE SCHOOL CHKSUNDR R.NO.-1,CHKSUNDR,831
Part_345,COMPOSITE SCHOOL CHKSUNDR R.NO.-2,CHKSUNDR,827
Part_346,COMPOSITE SCHOOL HINCHHNPUR R.NO.-1,HINCHHNPUR,856
Part_347,COMPOSITE SCHOOL HINCHHNPUR R.NO.-2,HINCHHNPUR,951
Part_348,PRIMARY SCHOOL SNSARAPUR R.NO.-1,SNSARAPUR,982
Part_349,PRIMARY SCHOOL SNSARAPUR R.NO.-2,SNSARAPUR,1000
Part_350,PNCHAYT BHVN CHKSHAB,CHKSHAB,1045
Part_351,COMPOSITE SCHOOL BHGVAS R.NO.-1,BHGVAS,588
Part_352,COMPOSITE SCHOOL BHGVAS R.NO.-2,BHGVAS,625
Part_353,PRIMARY SCHOOL BHOPTPTTI K0S0N-1,BHOPTPTTI,798
Part_354,PRIMARY SCHOOL BHOPTPTTI K0S0N-2,BHOPTPTTI,632
Part_355,COMPOSITE SCHOOL DHATMPUR,GHATMPUR,397
Part_356,PRIMARY SCHOOL DULHIPUR,DULHIPUR,817
Part_357,PRIMARY SCHOOL SHIVRAMPUR R.NO.-1,SHIVRAMPUR,664
Part_358,PRIMARY SCHOOL SHIVRAMPUR R.NO.-2,SHIVRAMPUR,548
Part_359,COMPOSITE SCHOOL KSHTRSHAHPUR R.NO.-1,KSHTRSHAHPUR,698
Part_360,COMPOSITE SCHOOL KSHTRSHAHPUR R.NO.-2,KSHTRSHAHPUR,845
Part_361,COMPOSITE SCHOOL RAYPUR,RAYPUR,1093
Part_362,PRIMARY SCHOOL KSIDHA K0S0-1,KSIDHAN,893
Part_363,PRIMARY SCHOOL KSIDHA K0S0-2,KSIDHAN,1067
Part_364,PRIMARY SCHOOL KSIDHA K0S0-3,KSIDHAN,946
Part_365,PRIMARY SCHOOL KSIDHA K0S0-4,KSIDHAN,831
Part_366,PRIMARY SCHOOL KSIDHA K0S0-5,KSIDHAN,963
Part_367,COMPOSITE SCHOOL GNESHRAYPUR K0S0-1,GNESHRAYPUR,892
Part_368,COMPOSITE SCHOOL GNESHRAYPUR K0S0-2,GNESHRAYPUR,729
Part_369,COMPOSITE SCHOOL GNESHRAYPUR K0S0-3,GNESHRAYPUR,938
Part_370,COMPOSITE SCHOOL BHIIURA,BHIIURA,1069
Part_371,COMPOSITE SCHOOL PALI K0S0-1,PALI,910
Part_372,COMPOSITE SCHOOL PALI K0S0-2,PALI,876
Part_373,COMPOSITE SCHOOL PALI K0S0-3,PALI,1021
Part_374,COMPOSITE SCHOOL KSIYAPUR K0S0-1,KSIYAPUR,1089
Part_375,COMPOSITE SCHOOL KSIYAPUR K0S0-2,KSIYAPUR,638
Part_376,PRIMARY SCHOOL GHORHA R.NO.-1,GHORHA,933
Part_377,PRIMARY SCHOOL GHORHA R.NO.-2,GHORHA,586
Part_378,PRIMARY SCHOOL PKRI KHUD RK0S0-1,PKRIKHUDZ,933
Part_379,PRIMARY SCHOOL PKRI KHUD RK0S0-2,PKRIKHUDZ,650
Part_380,PRIMARY SCHOOL PKRI KHUD RK0S0-3,PKRIKHUDZ,855
Part_381,COMPOSITE SCHOOL VARI K0S0-1,VARI,947
Part_382,COMPOSITE SCHOOL VARI K0S0-2,VARI,949
Part_383,COMPOSITE SCHOOL VARI K0S0-3,VARI,867
Part_384,COMPOSITE SCHOOL DSHRTHPUR R.NO.-1,DSHRTHPUR,835
Part_385,COMPOSITE SCHOOL.DSHRTHPUR R.NO.-2,DSHRTHPUR,715
Part_386,PRIMARY SCHOOL GLHAIYA,GLHAIYA,879
